Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.2	1	2	internal://	InSatisfiedInterests	8	0	0	0
0.2	1	2	internal://	InTimedOutInterests	0	0	0	0
0.2	1	2	internal://	OutSatisfiedInterests	0	0	0	0
0.2	1	2	internal://	OutTimedOutInterests	0	0	0	0
0.2	1	256	internal://	InInterests	0	0	0	0
0.2	1	256	internal://	OutInterests	0	0	0	0
0.2	1	256	internal://	InData	0	0	0	0
0.2	1	256	internal://	OutData	0	0	0	0
0.2	1	256	internal://	InNacks	0	0	0	0
0.2	1	256	internal://	OutNacks	0	0	0	0
0.2	1	256	internal://	InSatisfiedInterests	1.6	0	0	0
0.2	1	256	internal://	InTimedOutInterests	0	0	0	0
0.2	1	256	internal://	OutSatisfiedInterests	0	0	0	0
0.2	1	256	internal://	OutTimedOutInterests	0	0	0	0
0.2	1	-1	all	SatisfiedInterests	9.6	0	0	0
0.2	1	-1	all	TimedOutInterests	0	0	0	0
0.2	2	1	internal://	InInterests	0	0	0	0
0.2	2	1	internal://	OutInterests	0	0	0	0
0.2	2	1	internal://	InData	0	0	0	0
0.2	2	1	internal://	OutData	0	0	0	0
0.2	2	1	internal://	InNacks	0	0	0	0
0.2	2	1	internal://	OutNacks	0	0	0	0
0.2	2	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	2	1	internal://	InTimedOutInterests	0	0	0	0
0.2	2	1	internal://	OutSatisfiedInterests	12.8	0	0	0
0.2	2	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	2	2	internal://	InInterests	0	0	0	0
0.2	2	2	internal://	OutInterests	0	0	0	0
0.2	2	2	internal://	InData	0	0	0	0
0.2	2	2	internal://	OutData	0	0	0	0
0.2	2	2	internal://	InNacks	0	0	0	0
0.2	2	2	internal://	OutNacks	0	0	0	0
0.2	2	2	internal://	InSatisfiedInterests	9.6	0	0	0
0.2	2	2	internal://	InTimedOutInterests	0	0	0	0
0.2	2	2	internal://	OutSatisfiedInterests	0	0	0	0
0.2	2	2	internal://	OutTimedOutInterests	0	0	0	0
0.2	2	256	internal://	InInterests	0	0	0	0
0.2	2	256	internal://	OutInterests	0	0	0	0
0.2	2	256	internal://	InData	0	0	0	0
0.2	2	256	internal://	OutData	0	0	0	0
0.2	2	256	internal://	InNacks	0	0	0	0
0.2	2	256	internal://	OutNacks	0	0	0	0
0.2	2	256	internal://	InSatisfiedInterests	3.2	0	0	0
0.2	2	256	internal://	InTimedOutInterests	0	0	0	0
0.2	2	256	internal://	OutSatisfiedInterests	0	0	0	0
0.2	2	256	internal://	OutTimedOutInterests	0	0	0	0
0.2	2	-1	all	SatisfiedInterests	12.8	0	0	0
0.2	2	-1	all	TimedOutInterests	0	0	0	0
0.2	3	1	internal://	InInterests	0	0	0	0
0.2	3	1	internal://	OutInterests	0	0	0	0
0.2	3	1	internal://	InData	0	0	0	0
0.2	3	1	internal://	OutData	0	0	0	0
0.2	3	1	internal://	InNacks	0	0	0	0
0.2	3	1	internal://	OutNacks	0	0	0	0
0.2	3	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	3	1	internal://	InTimedOutInterests	0	0	0	0
0.2	3	1	internal://	OutSatisfiedInterests	11.2	0	0	0
0.2	3	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	3	2	internal://	InInterests	0	0	0	0
0.2	3	2	internal://	OutInterests	0	0	0	0
0.2	3	2	internal://	InData	0	0	0	0
0.2	3	2	internal://	OutData	0	0	0	0
0.2	3	2	internal://	InNacks	0	0	0	0
0.2	3	2	internal://	OutNacks	0	0	0	0
0.2	3	2	internal://	InSatisfiedInterests	8	0	0	0
0.2	3	2	internal://	InTimedOutInterests	0	0	0	0
0.2	3	2	internal://	OutSatisfiedInterests	0	0	0	0
0.2	3	2	internal://	OutTimedOutInterests	0	0	0	0
0.2	3	256	internal://	InInterests	0	0	0	0
0.2	3	256	internal://	OutInterests	0	0	0	0
0.2	3	256	internal://	InData	0	0	0	0
0.2	3	256	internal://	OutData	0	0	0	0
0.2	3	256	internal://	InNacks	0	0	0	0
0.2	3	256	internal://	OutNacks	0	0	0	0
0.2	3	256	internal://	InSatisfiedInterests	3.2	0	0	0
0.2	3	256	internal://	InTimedOutInterests	0	0	0	0
0.2	3	256	internal://	OutSatisfiedInterests	0	0	0	0
0.2	3	256	internal://	OutTimedOutInterests	0	0	0	0
0.2	3	-1	all	SatisfiedInterests	11.2	0	0	0
0.2	3	-1	all	TimedOutInterests	0	0	0	0
0.2	4	1	internal://	InInterests	0	0	0	0
0.2	4	1	internal://	OutInterests	0	0	0	0
0.2	4	1	internal://	InData	0	0	0	0
0.2	4	1	internal://	OutData	0	0	0	0
0.2	4	1	internal://	InNacks	0	0	0	0
0.2	4	1	internal://	OutNacks	0	0	0	0
0.2	4	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	4	1	internal://	InTimedOutInterests	0	0	0	0
0.2	4	1	internal://	OutSatisfiedInterests	11.2	0	0	0
0.2	4	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	4	2	internal://	InInterests	0	0	0	0
0.2	4	2	internal://	OutInterests	0	0	0	0
0.2	4	2	internal://	InData	0	0	0	0
0.2	4	2	internal://	OutData	0	0	0	0
0.2	4	2	internal://	InNacks	0	0	0	0
0.2	4	2	internal://	OutNacks	0	0	0	0
0.2	4	2	internal://	InSatisfiedInterests	8	0	0	0
0.2	4	2	internal://	InTimedOutInterests	0	0	0	0
0.2	4	2	internal://	OutSatisfiedInterests	0	0	0	0
0.2	4	2	internal://	OutTimedOutInterests	0	0	0	0
0.2	4	256	internal://	InInterests	0	0	0	0
0.2	4	256	internal://	OutInterests	0	0	0	0
0.2	4	256	internal://	InData	0	0	0	0
0.2	4	256	internal://	OutData	0	0	0	0
0.2	4	256	internal://	InNacks	0	0	0	0
0.2	4	256	internal://	OutNacks	0	0	0	0
0.2	4	256	internal://	InSatisfiedInterests	3.2	0	0	0
0.2	4	256	internal://	InTimedOutInterests	0	0	0	0
0.2	4	256	internal://	OutSatisfiedInterests	0	0	0	0
0.2	4	256	internal://	OutTimedOutInterests	0	0	0	0
0.2	4	-1	all	SatisfiedInterests	11.2	0	0	0
0.2	4	-1	all	TimedOutInterests	0	0	0	0
0.2	5	1	internal://	InInterests	0	0	0	0
0.2	5	1	internal://	OutInterests	0	0	0	0
0.2	5	1	internal://	InData	0	0	0	0
0.2	5	1	internal://	OutData	0	0	0	0
0.2	5	1	internal://	InNacks	0	0	0	0
0.2	5	1	internal://	OutNacks	0	0	0	0
0.2	5	1	internal://	InSatisfiedInterests	0	0	0	0
0.2	5	1	internal://	InTimedOutInterests	0	0	0	0
0.2	5	1	internal://	OutSatisfiedInterests	11.2	0	0	0
0.2	5	1	internal://	OutTimedOutInterests	0	0	0	0
0.2	5	2	internal://	InInterests	0	0	0	0
0.2	5	2	internal://	OutInterests	0	0	0	0
0.2	5	2	internal://	InData	0	0	0	0
0.2	5	2	internal://	OutData	0	0	0	0
0.2	5	2	internal://	InNacks	0	0	0	0
0.2	5	2	internal://	OutNacks	0	0	0	0
0.2	5	2	internal://	InSatisfiedInterests	8	0	0	0
0.2	5	2	internal://	InTimedOutInterests	0	0	0	0
0.2	5	2	internal://	OutSatisfiedInterests	0	0	0	0
0.2	5	2	internal://	OutTimedOutInterests	0	0	0	0
0.2	5	256	internal://	InInterests	0	0	0	0
0.2	5	256	internal://	OutInterests	0	0	0	0
0.2	5	256	internal://	InData	0	0	0	0
0.2	5	256	internal://	OutData	0	0	0	0
0.2	5	256	internal://	InNacks	0	0	0	0
0.2	5	256	internal://	OutNacks	0	0	0	0
